,ID TICKET,Fecha,Hora,FECHA SALIDA,HORA SALIDA,PESO ENTRADA (KG),PESO SALIDA (KG),PESO NETO,Cantidad,TIPO MATERIAL,SITIO DISPOSICION FINAL,Codigo Hoja,NUMERO INTERNO - PLACA,CAPACIDAD VEHICULO,Micro,NOMBRE RUTA,CIUDAD RUTA,COMPACTACIONES,ESTADO HOJA,Fecha Hora Inicio,Fecha Hora Salida,Macro,Codigo Ruta,yearDay,Year,Tipo Hoja,Interno,Placa,Tipo Vehiculo,Hoja yearDay,Rank,dayOfWeek
0,101429,2019-01-01,16:36:00,2019-01-01,16:36:00,3470,2450,1020,1020,Domestica,Emas,HREC_102972,DT-05-WOV540,1,M4R13,ZONA 13 RUTA 4 M4R13 VEREDAS,Manizales,1,cerrada,2019-01-01 16:36,2019-01-01 16:36,M4,13,1,2019,Recoleccion,DT-05,WOV540,Camioneta,1,1,1
1,101435,2019-01-01,19:33:00,2019-01-01,19:33:00,3340,2460,880,880,264,,HREC_102972,DT-05-WOV540,1,M4R13,ZONA 13 RUTA 4 M4R13 VEREDAS,Manizales,1,cerrada,2019-01-01 19:33,2019-01-01 19:33,M4,13,1,2019,Recoleccion,DT-05,WOV540,Camioneta,1,2,1
2,101443,2019-01-01,21:37:00,2019-01-01,21:37:00,3390,2430,960,960,Domestica,Emas,HREC_102972,DT-05-WOV540,1,M4R13,ZONA 13 RUTA 4 M4R13 VEREDAS,Manizales,1,cerrada,2019-01-01 21:37,2019-01-01 21:37,M4,13,1,2019,Recoleccion,DT-05,WOV540,Camioneta,1,3,1
3,101434,2019-01-01,19:15:00,2019-01-01,19:22:00,17670,10420,7250,7250,Domestica,,HREC_103023,1655-HHT 615,16,M4R9,ZONA 9 RUTA 4 M4R9 LA LEONORA ASUNCION,Manizales,66,cerrada,2019-01-01 19:15,2019-01-01 19:22,M4,9,1,2019,Recoleccion,1655,HHT,Compactador,1,1,1
4,101448,2019-01-01,23:03:00,2019-01-01,23:03:00,17100,10450,6650,5183.09,Domestica,,HREC_103023,1655-HHT 615,16,M4R9,ZONA 9 RUTA 4 M4R9 LA LEONORA ASUNCION,Manizales,53,cerrada,2019-01-01 23:03,2019-01-01 23:03,M4,9,1,2019,Recoleccion,1655,HHT,Compactador,1,2,1
5,101436,2019-01-01,19:57:00,2019-01-01,20:13:00,17110,10270,6840,6840,Domestica,,HREC_103024,1639-NAQ 009,16,M4R8,ZONA 8 RUTA 4 M4R8 EUCALIPTO LA ISABELA CAMILO TORRES,Manizales,55,cerrada,2019-01-01 19:57,2019-01-01 20:13,M4,8,1,2019,Recoleccion,1639,NAQ,Compactador,1,1,1
6,101456,2019-01-01,23:57:00,2019-01-02,0:13:00,15220,10440,4780,4780,264,,HREC_103024,1639-NAQ 009,16,M4R8,ZONA 8 RUTA 4 M4R8 EUCALIPTO LA ISABELA CAMILO TORRES,Manizales,57,cerrada,2019-01-01 23:57,2019-01-02 0:13,M4,8,1,2019,Recoleccion,1639,NAQ,Compactador,1,2,1
7,101438,2019-01-01,20:07:00,2019-01-01,20:23:00,17630,10370,7260,7260,272,Emas,HREC_103026,1635-NAP 847,16,M04R3,ZONA3 RUTA4,Manizales,1,cerrada,2019-01-01 20:07,2019-01-01 20:23,M4,3,1,2019,Recoleccion,1635,NAP,Compactador,1,1,1
8,101453,2019-01-01,23:41:00,2019-01-01,23:58:00,15600,10350,5250,5250,272,Emas,HREC_103026,1635-NAP 847,16,M04R3,ZONA3 RUTA4,Manizales,1,cerrada,2019-01-01 23:41,2019-01-01 23:58,M4,3,1,2019,Recoleccion,1635,NAP,Compactador,1,2,1
9,101439,2019-01-01,20:34:00,2019-01-01,20:36:00,17920,10600,7320,7320,Domestica,,HREC_103020,1662-STR379,16,M4R5,ZONA 5 RUTA 4 M4R5 CAMPIN BARRIO COLOMBIA,Manizales,61,cerrada,2019-01-01 20:34,2019-01-01 20:36,M4,5,1,2019,Recoleccion,1662,STR379,Compactador,1,1,1
