,Fecha,Precipitation (cm),dayOfWeek,yearDay,Year,Hoja yearDay
0,2019-09-16,0.0,0,259,2019,259
1,2019-09-17,0.010159999999999999,1,260,2019,260
2,2019-09-18,1.7976200000000002,2,261,2019,261
3,2019-09-19,1.1150800000000005,3,262,2019,262
4,2019-09-20,0.67286,4,263,2019,263
5,2019-09-21,1.7201600000000004,5,264,2019,264
6,2019-09-22,0.0627,6,265,2019,265
7,2019-09-23,2.6376200000000005,0,266,2019,266
8,2019-09-24,1.7550800000000004,1,267,2019,267
9,2019-09-25,4.659999999999999,2,268,2019,268
10,2019-09-26,0.5927,3,269,2019,269
11,2019-09-27,0.8450799999999999,4,270,2019,270
12,2019-09-28,0.6703199999999999,5,271,2019,271
13,2019-09-29,0.59762,6,272,2019,272
14,2019-09-30,0.7776200000000002,0,273,2019,273
15,2019-10-01,4.08,1,274,2019,274
16,2019-10-02,1.1650800000000001,2,275,2019,275
17,2019-10-03,0.17523999999999998,3,276,2019,276
18,2019-10-04,0.44016,4,277,2019,277
19,2019-10-05,0.0025399999999999997,5,278,2019,278
20,2019-10-06,1.4276200000000001,6,279,2019,279
21,2019-10-07,0.01524,0,280,2019,280
22,2019-10-08,0.06524,1,281,2019,281
23,2019-10-09,1.01778,2,282,2019,282
24,2019-10-10,1.7325400000000002,3,283,2019,283
25,2019-10-11,4.8125399999999985,4,284,2019,284
26,2019-10-12,1.1627000000000003,5,285,2019,285
27,2019-10-13,0.67032,6,286,2019,286
28,2019-10-14,1.3476200000000003,0,287,2019,287
29,2019-10-15,0.01524,1,288,2019,288
30,2019-10-16,0.46269999999999994,2,289,2019,289
31,2019-10-17,0.41015999999999997,3,290,2019,290
32,2019-10-18,3.0399999999999987,4,291,2019,291
33,2019-10-19,1.8000000000000003,5,292,2019,292
34,2019-10-20,0.5128599999999999,6,293,2019,293
35,2019-10-21,0.46031999999999995,0,294,2019,294
36,2019-10-22,3.29,1,295,2019,295
37,2019-10-23,1.9400000000000008,2,296,2019,296
38,2019-10-24,2.4,3,297,2019,297
39,2019-10-25,0.43016,4,298,2019,298
40,2019-10-26,0.51762,5,299,2019,299
41,2019-10-27,0.29254,6,300,2019,300
42,2019-10-28,0.38,0,301,2019,301
43,2019-10-29,0.45015999999999995,1,302,2019,302
44,2019-10-30,0.0050799999999999994,2,303,2019,303
45,2019-10-31,0.0025399999999999997,3,304,2019,304
46,2019-11-01,0.060160000000000005,4,305,2019,305
47,2019-11-02,0.7150799999999999,5,306,2019,306
48,2019-11-03,0.65524,6,307,2019,307
49,2019-11-04,0.31015999999999994,0,308,2019,308
50,2019-11-05,1.69016,1,309,2019,309
51,2019-11-06,0.54016,2,310,2019,310
52,2019-11-07,0.12286000000000001,3,311,2019,311
53,2019-11-08,0.6050800000000001,4,312,2019,312
54,2019-11-09,2.4125400000000004,5,313,2019,313
55,2019-11-10,2.4225399999999997,6,314,2019,314
56,2019-11-11,0.51762,0,315,2019,315
57,2019-11-12,2.8899999999999997,1,316,2019,316
58,2019-11-13,3.119999999999999,2,317,2019,317
59,2019-11-14,2.4999999999999996,3,318,2019,318
60,2019-11-15,2.8901600000000007,4,319,2019,319
61,2019-11-16,2.2301600000000006,5,320,2019,320
62,2019-11-17,1.8653999999999997,6,321,2019,321
63,2019-11-18,2.0976200000000005,0,322,2019,322
64,2019-11-19,2.7527000000000004,1,323,2019,323
65,2019-11-20,1.5427000000000004,2,324,2019,324
66,2019-11-21,0.31793999999999983,3,325,2019,325
67,2019-11-22,4.879999999999999,4,326,2019,326
68,2019-11-23,1.35762,5,327,2019,327
69,2019-11-24,0.81254,6,328,2019,328
70,2019-11-25,0.007619999999999999,0,329,2019,329
71,2019-11-26,0.12,1,330,2019,330
72,2019-11-27,0.03,2,331,2019,331
73,2019-11-28,0.0,3,332,2019,332
74,2019-11-29,0.46507999999999994,4,333,2019,333
75,2019-11-30,4.98762,5,334,2019,334
76,2019-12-01,1.2976199999999998,6,335,2019,335
77,2019-12-02,0.07762000000000001,0,336,2019,336
78,2019-12-03,0.21761999999999998,1,337,2019,337
79,2019-12-04,0.33524,2,338,2019,338
80,2019-12-05,0.4676199999999999,3,339,2019,339
81,2019-12-06,0.0327,4,340,2019,340
82,2019-12-07,0.5126999999999999,5,341,2019,341
83,2019-12-08,0.47016,6,342,2019,342
84,2019-12-09,0.81016,0,343,2019,343
85,2019-12-10,0.0050799999999999994,1,344,2019,344
86,2019-12-11,0.0025399999999999997,2,345,2019,345
87,2019-12-12,0.26761999999999997,3,346,2019,346
88,2019-12-13,0.12270000000000002,4,347,2019,347
89,2019-12-14,1.0427,5,348,2019,348
90,2019-12-15,1.3501600000000005,6,349,2019,349
91,2019-12-16,0.91286,0,350,2019,350
92,2019-12-17,2.300160000000001,1,351,2019,351
93,2019-12-18,0.4325399999999999,2,352,2019,352
94,2019-12-19,0.47253999999999996,3,353,2019,353
95,2019-12-20,0.0127,4,354,2019,354
96,2019-12-21,0.0,5,355,2019,355
97,2019-12-22,0.7501599999999999,6,356,2019,356
98,2019-12-23,1.2500000000000002,0,357,2019,357
99,2019-12-24,0.007619999999999999,1,358,2019,358
100,2019-12-25,0.19254,2,359,2019,359
101,2019-12-26,0.26761999999999997,3,360,2019,360
102,2019-12-27,0.03762,4,361,2019,361
103,2019-12-28,0.04286,5,362,2019,362
104,2019-12-29,0.060320000000000006,6,363,2019,363
105,2019-12-30,1.14508,0,364,2019,364
106,2019-12-31,0.5177799999999999,1,365,2019,365
107,2020-01-01,0.61032,2,1,2020,366
108,2020-01-02,0.48524,3,2,2020,367
109,2020-01-03,0.0025399999999999997,4,3,2020,368
110,2020-01-04,0.0,5,4,2020,369
111,2020-01-05,0.16762000000000002,6,5,2020,370
112,2020-01-06,0.23031999999999989,0,6,2020,371
113,2020-01-07,0.0025399999999999997,1,7,2020,372
114,2020-01-08,0.0,2,8,2020,373
115,2020-01-09,0.0,3,9,2020,374
116,2020-01-10,0.0,4,10,2020,375
117,2020-01-11,0.0,5,11,2020,376
118,2020-01-12,0.0,6,12,2020,377
119,2020-01-13,0.0,0,13,2020,378
120,2020-01-14,0.0,1,14,2020,379
121,2020-01-15,0.0,2,15,2020,380
122,2020-01-16,0.0,3,16,2020,381
123,2020-01-17,0.0,4,17,2020,382
124,2020-01-18,0.0,5,18,2020,383
125,2020-01-19,0.0050799999999999994,6,19,2020,384
126,2020-01-20,0.14778000000000002,0,20,2020,385
127,2020-01-21,2.6899999999999995,1,21,2020,386
128,2020-01-22,0.9300000000000004,2,22,2020,387
129,2020-01-23,0.37015999999999993,3,23,2020,388
130,2020-01-24,3.402700000000001,4,24,2020,389
131,2020-01-25,0.5452400000000002,5,25,2020,390
132,2020-01-26,0.15302000000000002,6,26,2020,391
133,2020-01-27,0.8876200000000001,0,27,2020,392
134,2020-01-28,1.5401600000000006,1,28,2020,393
135,2020-01-29,0.3804799999999998,2,29,2020,394
136,2020-01-30,0.21015999999999993,3,30,2020,395
137,2020-01-31,0.0025399999999999997,4,31,2020,396
138,2020-02-01,0.69508,5,32,2020,397
139,2020-02-02,0.07,6,33,2020,398
140,2020-02-03,0.0,0,34,2020,399
141,2020-02-04,0.0,1,35,2020,400
142,2020-02-05,0.0,2,36,2020,401
143,2020-02-06,0.0,3,37,2020,402
144,2020-02-07,0.0,4,38,2020,403
145,2020-02-08,0.007619999999999999,5,39,2020,404
146,2020-02-09,0.03302,6,40,2020,405
147,2020-02-10,0.010159999999999999,0,41,2020,406
148,2020-02-11,0.0,1,42,2020,407
149,2020-02-12,0.0,2,43,2020,408
150,2020-02-13,0.0050799999999999994,3,44,2020,409
151,2020-02-14,0.0527,4,45,2020,410
152,2020-02-15,0.02508,5,46,2020,411
153,2020-02-16,0.0025399999999999997,6,47,2020,412
154,2020-02-17,0.0,0,48,2020,413
155,2020-02-18,0.0,1,49,2020,414
156,2020-02-19,0.030160000000000003,2,50,2020,415
157,2020-02-20,0.12524,3,51,2020,416
158,2020-02-21,0.02254,4,52,2020,417
159,2020-02-22,1.1450800000000003,5,53,2020,418
160,2020-02-23,0.0050799999999999994,6,54,2020,419
161,2020-02-24,0.0050799999999999994,0,55,2020,420
162,2020-02-25,0.5427000000000001,1,56,2020,421
163,2020-02-26,0.58762,2,57,2020,422
164,2020-02-27,0.5977800000000001,3,58,2020,423
165,2020-02-28,0.30777999999999994,4,59,2020,424
166,2020-02-29,0.06508,5,60,2020,425
167,2020-03-01,0.1727,6,61,2020,426
168,2020-03-02,0.18539999999999998,0,62,2020,427
169,2020-03-03,0.13032,1,63,2020,428
170,2020-03-04,0.0025399999999999997,2,64,2020,429
171,2020-03-05,0.0,3,65,2020,430
172,2020-03-06,0.0,4,66,2020,431
173,2020-03-07,0.0025399999999999997,5,67,2020,432
174,2020-03-08,0.0,6,68,2020,433
175,2020-03-09,0.71016,0,69,2020,434
176,2020-03-10,0.22047999999999987,1,70,2020,435
177,2020-03-11,0.18269999999999992,2,71,2020,436
178,2020-03-12,0.0050799999999999994,3,72,2020,437
179,2020-03-13,0.0727,4,73,2020,438
180,2020-03-14,0.6876200000000002,5,74,2020,439
181,2020-03-15,0.7701600000000003,6,75,2020,440
182,2020-03-16,0.59032,0,76,2020,441
183,2020-03-17,0.8654,1,77,2020,442
184,2020-03-18,0.10032,2,78,2020,443
185,2020-03-19,0.28778000000000004,3,79,2020,444
186,2020-03-20,0.47524,4,80,2020,445
187,2020-03-21,0.09778,5,81,2020,446
188,2020-03-22,0.0,6,82,2020,447
189,2020-03-23,0.01524,0,83,2020,448
190,2020-03-24,0.1254,1,84,2020,449
191,2020-03-25,0.058100000000000006,2,85,2020,450
192,2020-03-26,0.16048,3,86,2020,451
193,2020-03-27,0.0854,4,87,2020,452
194,2020-03-28,0.11794,5,88,2020,453
195,2020-03-29,0.38269999999999993,6,89,2020,454
196,2020-03-30,0.5925400000000001,0,90,2020,455
197,2020-03-31,0.29269999999999996,1,91,2020,456
198,2020-04-01,0.11048000000000001,2,92,2020,457
199,2020-04-02,0.08286,3,93,2020,458
200,2020-04-03,0.01524,4,94,2020,459
201,2020-04-04,2.38,5,95,2020,460
